2020-03-20 10:43:04.447 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 80 (http) with context path ''
2020-03-20 10:43:04.452 [restartedMain] INFO  c.d.boot.boothelloword.BootHelloWorldApplication - Started BootHelloWorldApplication in 3.444 seconds (JVM running for 64.849)
2020-03-20 10:43:04.465 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
2020-03-20 10:44:22.895 [Thread-33] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-03-20 10:44:23.609 [restartedMain] INFO  c.d.boot.boothelloword.BootHelloWorldApplication - Starting BootHelloWorldApplication on yq.local with PID 68983 (/Users/qianze/boot-hello-world/target/classes started by qianze in /Users/qianze/boot-hello-world)
2020-03-20 10:44:23.610 [restartedMain] INFO  c.d.boot.boothelloword.BootHelloWorldApplication - The following profiles are active: dev
2020-03-20 10:44:23.911 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-03-20 10:44:23.912 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2020-03-20 10:44:23.916 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 4ms. Found 0 repository interfaces.
2020-03-20 10:44:23.918 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-03-20 10:44:23.918 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2020-03-20 10:44:23.921 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 3ms. Found 0 repository interfaces.
2020-03-20 10:44:23.926 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
